gene_id	symbol	description	locus	human_gene_id	human_gene_name
LOC111097734	LOC111097734	uncharacterized LOC111097734	10:49429599-49430723	<none>	<none>
LOC111097735	LOC111097735	"uncharacterized LOC111097735, transcript variant X4"	10:49519629-49531246	<none>	<none>
LOC111097738	LOC111097738	uncharacterized LOC111097738	10:49915182-49923740	<none>	<none>
LOC111097745	LOC111097745	"uncharacterized LOC111097745, transcript variant X6"	10:51982816-52215643	<none>	<none>
LOC111097746	LOC111097746	"uncharacterized LOC111097746, transcript variant X7"	10:51764312-51801151	<none>	<none>
LOC111097747	LOC111097747	"uncharacterized LOC111097747, transcript variant X3"	10:52209123-52352518	<none>	<none>
LOC111097748	LOC111097748	"uncharacterized LOC111097748, transcript variant X10"	10:51751118-51853021	<none>	<none>
LOC111097749	LOC111097749	"uncharacterized LOC111097749, transcript variant X4"	1:110090236-110101772	<none>	<none>
LOC111097750	LOC111097750	"uncharacterized LOC111097750, transcript variant X3"	10:53288616-53308502	<none>	<none>
LOC111097751	LOC111097751	"uncharacterized LOC111097751, transcript variant X1"	10:53221399-53250878	<none>	<none>
LOC111097752	LOC111097752	"uncharacterized LOC111097752, transcript variant X2"	10:55623117-55793975	<none>	<none>
LOC111097754	LOC111097754	"uncharacterized LOC111097754, transcript variant X3"	10:56567202-56604084	<none>	<none>
LOC111097758	LOC111097758	"uncharacterized LOC111097758, transcript variant X3"	10:58551672-58788845	<none>	<none>
LOC111097759	LOC111097759	uncharacterized LOC111097759	10:58606833-58620915	<none>	<none>
LOC111097762	LOC111097762	uncharacterized LOC111097762	10:59470075-59473769	<none>	<none>
LOC111097763	LOC111097763	uncharacterized gene	10:59495334-59560806	<none>	<none>
LOC111097764	LOC111097764	uncharacterized LOC111097764	10:59493156-59495663	<none>	<none>
LOC111097767	LOC111097767	uncharacterized LOC111097767	10:60021577-60042778	<none>	<none>
LOC111097770	LOC111097770	uncharacterized LOC111097770	10:60974972-61019169	<none>	<none>
LOC111097771	LOC111097771	"uncharacterized LOC111097771, transcript variant X4"	10:61717088-61730199	<none>	<none>
LOC111097773	LOC111097773	"uncharacterized LOC111097773, transcript variant X3"	10:61345445-61353736	<none>	<none>
LOC111097776	LOC111097776	uncharacterized LOC111097776	10:63478067-63482546	<none>	<none>
LOC111097780	LOC111097780	uncharacterized LOC111097780	10:65047689-65064447	<none>	<none>
LOC111097784	LOC111097784	uncharacterized LOC111097784	10:65573882-65588591	<none>	<none>
LOC111097790	LOC111097790	uncharacterized LOC111097790	10:66219406-66228657	<none>	<none>
LOC111097792	LOC111097792	uncharacterized LOC111097792	10:66882636-66893260	<none>	<none>
LOC111097793	LOC111097793	uncharacterized LOC111097793	10:66553893-66897874	<none>	<none>
LOC111097794	LOC111097794	uncharacterized LOC111097794	10:66736652-66750935	<none>	<none>
LOC111097795	LOC111097795	uncharacterized LOC111097795	10:67133187-67138829	<none>	<none>
LOC111097796	LOC111097796	uncharacterized LOC111097796	10:67137836-67142797	<none>	<none>
LOC111097797	LOC111097797	uncharacterized LOC111097797	10:67288842-67295506	<none>	<none>
LOC111097799	LOC111097799	uncharacterized LOC111097799	10:67410628-67430917	<none>	<none>
LOC111097801	LOC111097801	"uncharacterized LOC111097801, transcript variant X2"	10:67551136-67577398	<none>	<none>
LOC111097804	LOC111097804	"uncharacterized LOC111097804, transcript variant X2"	10:68517508-68523868	<none>	<none>
LOC111097809	LOC111097809	"uncharacterized LOC111097809, transcript variant X2"	10:69569615-69573893	<none>	<none>
LOC111097811	LOC111097811	uncharacterized LOC111097811	10:69684837-69693029	<none>	<none>
LOC111097817	LOC111097817	uncharacterized LOC111097817	10:6440483-6474709	<none>	<none>
LOC111097819	LOC111097819	uncharacterized LOC111097819	10:7980141-7990806	<none>	<none>
LOC111097821	LOC111097821	"uncharacterized LOC111097821, transcript variant X2"	10:10092746-10095584	<none>	<none>
LOC111097822	LOC111097822	"uncharacterized LOC111097822, transcript variant X3"	10:10094740-10119051	<none>	<none>
LOC111097824	LOC111097824	uncharacterized LOC111097824	10:10561369-10564622	<none>	<none>
LOC111097826	LOC111097826	uncharacterized gene	10:11560404-11571907	<none>	<none>
LOC111097829	LOC111097829	uncharacterized LOC111097829	10:18392207-18394721	<none>	<none>
LOC111097836	LOC111097836	"uncharacterized LOC111097836, transcript variant X2"	10:30851873-30856828	<none>	<none>
LOC111097841	LOC111097841	uncharacterized gene	10:4124657-4141032	<none>	<none>
LOC111097843	LOC111097843	"uncharacterized LOC111097843, transcript variant X3"	10:37729617-37733925	<none>	<none>
LOC111097844	LOC111097844	uncharacterized LOC111097844	10:40468815-40472241	<none>	<none>
LOC111097845	LOC111097845	uncharacterized LOC111097845	10:48271886-48278831	<none>	<none>
LOC111097847	LOC111097847	uncharacterized LOC111097847	10:49792168-49793006	<none>	<none>
LOC111097848	LOC111097848	uncharacterized gene	10:56627069-56628671	<none>	<none>
LOC111097851	LOC111097851	uncharacterized gene	10:10055935-10056498	<none>	<none>
LOC111097852	LOC111097852	uncharacterized LOC111097852	10:58151197-58154995	<none>	<none>
LOC111097853	LOC111097853	"uncharacterized LOC111097853, transcript variant X3"	10:59385020-59433271	<none>	<none>
LOC111097854	LOC111097854	uncharacterized LOC111097854	10:62081546-62094661	<none>	<none>
LOC111097855	LOC111097855	uncharacterized LOC111097855	10:64970445-64981307	<none>	<none>
LOC111097856	LOC111097856	uncharacterized LOC111097856	10:64987570-64990471	<none>	<none>
LOC111097857	LOC111097857	uncharacterized LOC111097857	10:64990468-64992150	<none>	<none>
LOC111097858	LOC111097858	uncharacterized gene	10:65314392-65315306	<none>	<none>
LOC111097859	LOC111097859	uncharacterized LOC111097859	10:65364611-65365846	<none>	<none>
LOC111097861	LOC111097861	uncharacterized LOC111097861	10:65911802-65915922	<none>	<none>
LOC111097862	LOC111097862	uncharacterized LOC111097862	10:65921820-65929581	<none>	<none>
LOC111097863	LOC111097863	uncharacterized LOC111097863	10:66955551-66978506	<none>	<none>
LOC111097878	LOC111097878	uncharacterized gene	1:43845221-44032934	<none>	<none>
LOC111097879	LOC111097879	"uncharacterized LOC111097879, transcript variant X2"	11:66080283-66084220	<none>	<none>
LOC111097882	LOC111097882	uncharacterized LOC111097882	11:66660708-66669317	<none>	<none>
LOC111097884	LOC111097884	uncharacterized LOC111097884	11:67011257-67013168	<none>	<none>
LOC111097885	LOC111097885	"uncharacterized LOC111097885, transcript variant X3"	11:67747376-67780439	<none>	<none>
LOC111097888	LOC111097888	uncharacterized LOC111097888	11:68943707-68945104	<none>	<none>
LOC111097889	LOC111097889	uncharacterized LOC111097889	11:69099700-69107381	<none>	<none>
LOC111097890	LOC111097890	"uncharacterized LOC111097890, transcript variant X9"	11:69790675-69873034	<none>	<none>
LOC111097891	LOC111097891	"uncharacterized LOC111097891, transcript variant X2"	11:70678511-70681804	<none>	<none>
LOC111097896	LOC111097896	"uncharacterized LOC111097896, transcript variant X2"	11:73356742-73364779	<none>	<none>
LOC111097897	LOC111097897	"uncharacterized LOC111097897, transcript variant X2"	11:73712708-73715872	<none>	<none>
LOC111097905	LOC111097905	uncharacterized gene	11:39683165-39683898	<none>	<none>
LOC111097906	LOC111097906	uncharacterized gene	11:44352518-44360568	<none>	<none>
LOC111097907	LOC111097907	uncharacterized gene	11:44904269-44939619	<none>	<none>
LOC111097910	LOC111097910	uncharacterized gene	11:63166410-63167203	<none>	<none>
LOC111097912	LOC111097912	uncharacterized LOC111097912	11:391370-397218	<none>	<none>
LOC111097913	LOC111097913	uncharacterized gene	11:543286-543917	<none>	<none>
LOC111097917	LOC111097917	uncharacterized LOC111097917	11:7723440-7728044	<none>	<none>
LOC111097922	LOC111097922	uncharacterized gene	11:9499990-9542220	<none>	<none>
LOC111097925	LOC111097925	"uncharacterized LOC111097925, transcript variant X2"	11:14952492-14979054	<none>	<none>
LOC111097926	LOC111097926	uncharacterized LOC111097926	11:15121160-15140844	<none>	<none>
LOC111097928	LOC111097928	uncharacterized LOC111097928	11:18864809-18895660	<none>	<none>
LOC111097929	LOC111097929	uncharacterized LOC111097929	11:22054965-22060097	<none>	<none>
LOC111097931	LOC111097931	"uncharacterized LOC111097931, transcript variant X4"	11:24029258-24038620	<none>	<none>
LOC111097932	LOC111097932	uncharacterized LOC111097932	11:25256797-25263048	<none>	<none>
LOC111097934	LOC111097934	"uncharacterized LOC111097934, transcript variant X1"	11:31761971-31776839	<none>	<none>
LOC111097935	LOC111097935	"uncharacterized LOC111097935, transcript variant X4"	11:33562976-33574879	<none>	<none>
LOC111097937	LOC111097937	uncharacterized LOC111097937	11:35470763-35494578	<none>	<none>
LOC111097938	LOC111097938	uncharacterized LOC111097938	11:36384368-36386132	<none>	<none>
LOC111097940	LOC111097940	uncharacterized LOC111097940	11:36502945-36514494	<none>	<none>
LOC111097941	LOC111097941	uncharacterized LOC111097941	11:40681041-40703376	<none>	<none>
LOC111097943	LOC111097943	uncharacterized LOC111097943	11:42722439-42746680	<none>	<none>
LOC111097944	LOC111097944	"uncharacterized LOC111097944, transcript variant X2"	11:43271198-43313869	<none>	<none>
LOC111097947	LOC111097947	"uncharacterized LOC111097947, transcript variant X2"	11:48792988-48797303	<none>	<none>
LOC111097948	LOC111097948	uncharacterized LOC111097948	11:49194524-49206353	<none>	<none>
LOC111097951	LOC111097951	uncharacterized LOC111097951	11:56875476-56882759	<none>	<none>
LOC111097953	LOC111097953	"uncharacterized LOC111097953, transcript variant X2"	11:58529973-58534812	<none>	<none>
LOC111097954	LOC111097954	"uncharacterized LOC111097954, transcript variant X3"	11:59258014-59292215	<none>	<none>
LOC111097957	LOC111097957	"uncharacterized LOC111097957, transcript variant X4"	11:62430211-62435623	<none>	<none>
LOC111097958	LOC111097958	uncharacterized LOC111097958	11:63273475-63275811	<none>	<none>
LOC111097959	LOC111097959	"uncharacterized LOC111097959, transcript variant X2"	11:66237277-66242878	<none>	<none>
LOC111097960	LOC111097960	uncharacterized LOC111097960	11:66291383-66317813	<none>	<none>
LOC111097961	LOC111097961	uncharacterized LOC111097961	11:69345704-69354660	<none>	<none>
LOC111097962	LOC111097962	uncharacterized LOC111097962	11:69650314-69651474	<none>	<none>
LOC111097963	LOC111097963	uncharacterized LOC111097963	11:70221607-70222069	<none>	<none>
LOC111097965	LOC111097965	uncharacterized LOC111097965	11:70321253-70327134	<none>	<none>
LOC111097978	LOC111097978	"uncharacterized LOC111097978, transcript variant X3"	11:2650359-2655982	<none>	<none>
LOC111097979	LOC111097979	uncharacterized LOC111097979	11:3411473-3434321	<none>	<none>
LOC111097988	LOC111097988	"uncharacterized LOC111097988, transcript variant X1"	11:5697317-5715332	<none>	<none>
LOC111097990	LOC111097990	uncharacterized protein LOC111097990	11:6349063-6351174	<none>	<none>
LOC111097992	LOC111097992	"uncharacterized LOC111097992, transcript variant X4"	11:8368515-8379527	<none>	<none>
LOC111097997	LOC111097997	uncharacterized LOC111097997	11:9895097-9952226	<none>	<none>
LOC111097999	LOC111097999	"uncharacterized LOC111097999, transcript variant X2"	11:11973662-11985188	<none>	<none>
LOC111098003	LOC111098003	uncharacterized LOC111098003	11:13716920-13719132	<none>	<none>
LOC111098007	LOC111098007	"uncharacterized LOC111098007, transcript variant X2"	11:15387134-15425743	<none>	<none>
LOC111098008	LOC111098008	"uncharacterized LOC111098008, transcript variant X5"	11:16055381-16106661	<none>	<none>
LOC111098011	LOC111098011	"uncharacterized LOC111098011, transcript variant X4"	11:16938761-16983871	<none>	<none>
LOC111098012	LOC111098012	uncharacterized LOC111098012	11:16893998-16904333	<none>	<none>
LOC111098014	LOC111098014	"uncharacterized LOC111098014, transcript variant X8"	11:17970410-18166170	<none>	<none>
LOC111098015	LOC111098015	uncharacterized LOC111098015	11:18500868-18526264	<none>	<none>
LOC111098016	LOC111098016	"uncharacterized LOC111098016, transcript variant X1"	11:18526319-18547716	<none>	<none>
LOC111098017	LOC111098017	uncharacterized LOC111098017	1:112175332-112183231	<none>	<none>
LOC111098022	LOC111098022	"uncharacterized LOC111098022, transcript variant X3"	11:21179466-21233592	<none>	<none>
LOC111098027	LOC111098027	"uncharacterized LOC111098027, transcript variant X3"	11:22253824-22259756	<none>	<none>
LOC111098032	LOC111098032	uncharacterized LOC111098032	11:24243512-24248708	<none>	<none>
LOC111098037	LOC111098037	"uncharacterized LOC111098037, transcript variant X2"	11:26544865-26555755	<none>	<none>
LOC111098039	LOC111098039	uncharacterized LOC111098039	11:33011438-33018167	<none>	<none>
LOC111098043	LOC111098043	"uncharacterized LOC111098043, transcript variant X3"	11:34163554-34183286	<none>	<none>
LOC111098056	LOC111098056	uncharacterized LOC111098056	11:36421584-36423008	<none>	<none>
LOC111098058	LOC111098058	uncharacterized LOC111098058	11:36915707-36917563	<none>	<none>
LOC111098059	LOC111098059	uncharacterized LOC111098059	11:38069935-38074310	<none>	<none>
LOC111098060	LOC111098060	uncharacterized LOC111098060	11:38930382-38937356	<none>	<none>
LOC111098062	LOC111098062	uncharacterized LOC111098062	11:39323499-39327171	<none>	<none>
LOC111098068	LOC111098068	uncharacterized LOC111098068	11:42897156-42917513	<none>	<none>
LOC111098070	LOC111098070	"uncharacterized LOC111098070, transcript variant X10"	11:44480174-44773308	<none>	<none>
LOC111098071	LOC111098071	uncharacterized LOC111098071	11:44456322-44464765	<none>	<none>
LOC111098072	LOC111098072	"uncharacterized LOC111098072, transcript variant X3"	11:44773345-44797812	<none>	<none>
LOC111098073	LOC111098073	"uncharacterized LOC111098073, transcript variant X2"	11:44944024-45081148	<none>	<none>
LOC111098074	LOC111098074	"uncharacterized LOC111098074, transcript variant X2"	11:45184965-45252609	<none>	<none>
LOC111098077	LOC111098077	uncharacterized LOC111098077	11:47103024-47113888	<none>	<none>
LOC111098079	LOC111098079	"uncharacterized LOC111098079, transcript variant X5"	11:49072017-49076791	<none>	<none>
LOC111098081	LOC111098081	uncharacterized LOC111098081	11:50677499-50684108	<none>	<none>
LOC111098086	LOC111098086	"uncharacterized LOC111098086, transcript variant X4"	11:51631482-51654750	<none>	<none>
LOC111098097	LOC111098097	uncharacterized LOC111098097	11:54617526-54623836	<none>	<none>
LOC111098099	LOC111098099	"uncharacterized LOC111098099, transcript variant X2"	11:54864556-54873643	<none>	<none>
LOC111098100	LOC111098100	"uncharacterized LOC111098100, transcript variant X2"	11:55388805-55400086	<none>	<none>
LOC111098102	LOC111098102	uncharacterized LOC111098102	11:55400155-55404627	<none>	<none>
LOC111098103	LOC111098103	uncharacterized LOC111098103	11:55360190-55365401	<none>	<none>
LOC111098108	LOC111098108	uncharacterized LOC111098108	11:57837031-57847800	<none>	<none>
LOC111098110	LOC111098110	uncharacterized LOC111098110	11:58699801-58701762	<none>	<none>
LOC111098111	LOC111098111	uncharacterized LOC111098111	11:59632717-59634715	<none>	<none>
LOC111098112	LOC111098112	uncharacterized LOC111098112	11:59688648-59719055	<none>	<none>
LOC111098113	LOC111098113	"uncharacterized LOC111098113, transcript variant X2"	11:60422053-60433312	<none>	<none>
LOC111098117	LOC111098117	uncharacterized LOC111098117	11:63073881-63076580	<none>	<none>
LOC111098118	LOC111098118	uncharacterized LOC111098118	11:63086274-63101695	<none>	<none>
LOC111098123	LOC111098123	uncharacterized LOC111098123	11:63784559-63812466	<none>	<none>
LOC111098125	LOC111098125	"uncharacterized LOC111098125, transcript variant X1"	11:64427614-64449768	<none>	<none>
LOC111098126	LOC111098126	"uncharacterized LOC111098126, transcript variant X1"	11:64510555-64519260	<none>	<none>
LOC111098127	LOC111098127	"uncharacterized LOC111098127, transcript variant X3"	11:64549060-64596829	<none>	<none>
LOC111098143	LOC111098143	uncharacterized gene	12:39823327-39825566	<none>	<none>
LOC111098144	LOC111098144	uncharacterized gene	12:43132917-43133570	<none>	<none>
LOC111098145	LOC111098145	uncharacterized gene	12:44041347-44042007	<none>	<none>
LOC111098149	LOC111098149	uncharacterized LOC111098149	12:6308484-6315818	<none>	<none>
LOC111098150	LOC111098150	uncharacterized LOC111098150	12:6928184-6970764	<none>	<none>
LOC111098151	LOC111098151	uncharacterized LOC111098151	12:9749772-9754158	<none>	<none>
LOC111098152	LOC111098152	uncharacterized LOC111098152	12:9762706-9765174	<none>	<none>
LOC111098153	LOC111098153	uncharacterized LOC111098153	12:12580461-12582711	<none>	<none>
LOC111098154	LOC111098154	uncharacterized LOC111098154	12:16411786-16439647	<none>	<none>
LOC111098155	LOC111098155	uncharacterized LOC111098155	12:16465372-16481034	<none>	<none>
LOC111098156	LOC111098156	"uncharacterized LOC111098156, transcript variant X1"	12:16507892-16540647	<none>	<none>
LOC111098157	LOC111098157	uncharacterized LOC111098157	12:18405616-18426810	<none>	<none>
LOC111098158	LOC111098158	uncharacterized LOC111098158	12:18681285-18686421	<none>	<none>
LOC111098159	LOC111098159	40S ribosomal protein S27-like	12:18842065-18842622	<none>	<none>
LOC111098160	LOC111098160	uncharacterized LOC111098160	12:20023270-20023984	<none>	<none>
LOC111098161	LOC111098161	"uncharacterized LOC111098161, transcript variant X1"	12:20935599-20966510	<none>	<none>
LOC111098163	LOC111098163	uncharacterized LOC111098163	12:23851967-23862581	<none>	<none>
LOC111098165	LOC111098165	uncharacterized LOC111098165	12:25484909-25529456	<none>	<none>
LOC111098166	LOC111098166	uncharacterized LOC111098166	12:25597640-25602703	<none>	<none>
LOC111098167	LOC111098167	uncharacterized LOC111098167	12:29639701-29661408	<none>	<none>
LOC111098168	LOC111098168	"uncharacterized LOC111098168, transcript variant X5"	12:30051002-30095050	<none>	<none>
LOC111098169	LOC111098169	uncharacterized LOC111098169	12:34026120-34032429	<none>	<none>
LOC111098171	LOC111098171	"uncharacterized LOC111098171, transcript variant X3"	12:36448214-36461154	<none>	<none>
LOC111098175	LOC111098175	uncharacterized LOC111098175	12:51175347-51187754	<none>	<none>
LOC111098184	LOC111098184	"uncharacterized LOC111098184, transcript variant X2"	12:61340113-61698285	<none>	<none>
LOC111098185	LOC111098185	uncharacterized LOC111098185	12:63302946-63307382	<none>	<none>
LOC111098186	LOC111098186	uncharacterized LOC111098186	12:64445681-64447187	<none>	<none>
LOC111098187	LOC111098187	uncharacterized gene	12:66136785-66137183	<none>	<none>
LOC111098188	LOC111098188	synapsin-1-like	12:67141967-67156992	<none>	<none>
LOC111098191	LOC111098191	uncharacterized LOC111098191	12:69424348-69426253	<none>	<none>
LOC111098192	LOC111098192	uncharacterized LOC111098192	12:69715217-69725675	<none>	<none>
LOC111098196	LOC111098196	"uncharacterized LOC111098196, transcript variant X4"	12:71184683-71258021	<none>	<none>
LOC111098197	LOC111098197	uncharacterized LOC111098197	12:71561358-71672605	<none>	<none>
LOC111098201	LOC111098201	uncharacterized gene	12:37492863-37494250	<none>	<none>
LOC111098206	LOC111098206	uncharacterized gene	12:26917782-26919712	<none>	<none>
LOC111098211	LOC111098211	"uncharacterized LOC111098211, transcript variant X1"	12:1046648-1050581	<none>	<none>
LOC111098212	LOC111098212	uncharacterized gene	12:1114916-1115973	<none>	<none>
LOC111098217	LOC111098217	uncharacterized gene	12:2240797-2241057	<none>	<none>
LOC111098224	LOC111098224	"uncharacterized LOC111098224, transcript variant X1"	12:3143898-3151217	<none>	<none>
LOC111098232	LOC111098232	uncharacterized LOC111098232	12:5124156-5141570	<none>	<none>
LOC111098236	LOC111098236	uncharacterized LOC111098236	12:5870729-5879719	<none>	<none>
LOC111098237	LOC111098237	uncharacterized protein LOC111098237	1:64827686-64833347	<none>	<none>
LOC111098238	LOC111098238	uncharacterized LOC111098238	12:6150498-6154552	<none>	<none>
LOC111098240	LOC111098240	uncharacterized LOC111098240	12:6288207-6303670	<none>	<none>
LOC111098242	LOC111098242	small nuclear ribonucleoprotein G-like	12:6426879-6427341	<none>	<none>
LOC111098243	LOC111098243	uncharacterized gene	12:6563510-6564283	<none>	<none>
LOC111098245	LOC111098245	uncharacterized LOC111098245	1:115525055-115529575	<none>	<none>
LOC111098249	LOC111098249	"uncharacterized LOC111098249, transcript variant X2"	12:8475658-8511827	<none>	<none>
LOC111098250	LOC111098250	uncharacterized LOC111098250	12:9291083-9324503	<none>	<none>
LOC111098252	LOC111098252	"uncharacterized LOC111098252, transcript variant X1"	12:9575741-9611187	<none>	<none>
LOC111098253	LOC111098253	"uncharacterized LOC111098253, transcript variant X4"	12:9671446-9681123	<none>	<none>
LOC111098254	LOC111098254	uncharacterized LOC111098254	12:9924892-9933609	<none>	<none>
LOC111098257	LOC111098257	"uncharacterized LOC111098257, transcript variant X5"	1:115679886-115689033	<none>	<none>
LOC111098265	LOC111098265	"uncharacterized LOC111098265, transcript variant X2"	12:12384060-12392735	<none>	<none>
LOC111098269	LOC111098269	uncharacterized LOC111098269	12:14103971-14109349	<none>	<none>
LOC111098270	LOC111098270	uncharacterized LOC111098270	12:13262349-13278021	<none>	<none>
LOC111098271	LOC111098271	"uncharacterized LOC111098271, transcript variant X2"	12:13219924-13236269	<none>	<none>
LOC111098273	LOC111098273	uncharacterized LOC111098273	12:13961147-13963736	<none>	<none>
LOC111098278	LOC111098278	uncharacterized LOC111098278	12:17769066-17781205	<none>	<none>
LOC111098281	LOC111098281	uncharacterized LOC111098281	12:19310144-19311532	<none>	<none>
LOC111098282	LOC111098282	"uncharacterized LOC111098282, transcript variant X3"	12:19455468-19508722	<none>	<none>
LOC111098290	LOC111098290	uncharacterized LOC111098290	12:21317349-21319782	<none>	<none>
LOC111098291	LOC111098291	"uncharacterized LOC111098291, transcript variant X2"	12:21906408-21962102	<none>	<none>
LOC111098294	LOC111098294	"uncharacterized LOC111098294, transcript variant X5"	12:24045566-24094804	<none>	<none>
LOC111098300	LOC111098300	uncharacterized LOC111098300	1:119119672-119152325	<none>	<none>
LOC111098301	LOC111098301	"uncharacterized LOC111098301, transcript variant X8"	12:28362802-28508680	<none>	<none>
LOC111098302	LOC111098302	"uncharacterized LOC111098302, transcript variant X3"	12:27459377-27485731	<none>	<none>
LOC111098303	LOC111098303	"uncharacterized LOC111098303, transcript variant X2"	12:29218290-29242583	<none>	<none>
LOC111098304	LOC111098304	uncharacterized LOC111098304	12:31719983-31721974	<none>	<none>
LOC111098305	LOC111098305	uncharacterized LOC111098305	12:31865822-31873334	<none>	<none>
LOC111098307	LOC111098307	uncharacterized LOC111098307	1:119080625-119085484	<none>	<none>
LOC111098308	LOC111098308	uncharacterized LOC111098308	12:32252573-32260569	<none>	<none>
LOC111098310	LOC111098310	uncharacterized LOC111098310	1:119224404-119227929	<none>	<none>
LOC111098312	LOC111098312	"uncharacterized LOC111098312, transcript variant X3"	12:34753247-34931378	<none>	<none>
LOC111098313	LOC111098313	uncharacterized LOC111098313	12:35655804-35659702	<none>	<none>
LOC111098314	LOC111098314	uncharacterized LOC111098314	1:119504172-119508073	<none>	<none>
LOC111098318	LOC111098318	"uncharacterized LOC111098318, transcript variant X1"	12:36227921-36261571	<none>	<none>
LOC111098319	LOC111098319	"uncharacterized LOC111098319, transcript variant X2"	12:36185267-36227874	<none>	<none>
LOC111098321	LOC111098321	uncharacterized LOC111098321	1:119515673-119520486	<none>	<none>
LOC111098323	LOC111098323	"uncharacterized LOC111098323, transcript variant X1"	1:119561582-119567937	<none>	<none>
LOC111098324	LOC111098324	"uncharacterized LOC111098324, transcript variant X4"	1:119545522-119554876	<none>	<none>
LOC111098325	LOC111098325	uncharacterized LOC111098325	12:39759428-39763946	<none>	<none>
LOC111098332	LOC111098332	"uncharacterized LOC111098332, transcript variant X3"	1:119667454-119673751	<none>	<none>
LOC111098335	LOC111098335	"uncharacterized LOC111098335, transcript variant X1"	12:41536413-42009024	<none>	<none>
LOC111098336	LOC111098336	uncharacterized LOC111098336	12:42473022-42479624	<none>	<none>
LOC111098338	LOC111098338	uncharacterized LOC111098338	12:43007131-43030232	<none>	<none>
LOC111098339	LOC111098339	pancreatic progenitor cell differentiation and proliferation factor-like	12:43245751-43246012	<none>	<none>
LOC111098341	LOC111098341	uncharacterized LOC111098341	12:43347218-43444504	<none>	<none>
LOC111098343	LOC111098343	uncharacterized LOC111098343	12:44687787-44692438	<none>	<none>
LOC111098344	LOC111098344	uncharacterized LOC111098344	12:44702324-44714371	<none>	<none>
LOC111098347	LOC111098347	uncharacterized LOC111098347	12:46554298-46555606	<none>	<none>
LOC111098348	LOC111098348	"uncharacterized LOC111098348, transcript variant X9"	12:46853247-46901151	<none>	<none>
LOC111098349	LOC111098349	"uncharacterized LOC111098349, transcript variant X2"	12:47108436-47112814	<none>	<none>
LOC111098355	LOC111098355	"uncharacterized LOC111098355, transcript variant X2"	12:48741688-48743577	<none>	<none>
LOC111098361	LOC111098361	"uncharacterized LOC111098361, transcript variant X2"	12:50639012-50707509	<none>	<none>
LOC111098363	LOC111098363	uncharacterized LOC111098363	12:51277320-51301760	<none>	<none>
LOC111098364	LOC111098364	uncharacterized LOC111098364	12:51275855-51299976	<none>	<none>
LOC111098365	LOC111098365	uncharacterized LOC111098365	1:119971977-119978950	<none>	<none>
LOC111098366	LOC111098366	uncharacterized LOC111098366	12:53354350-53358539	<none>	<none>
LOC111098368	LOC111098368	uncharacterized LOC111098368	12:56166312-56204264	<none>	<none>
LOC111098371	LOC111098371	"uncharacterized LOC111098371, transcript variant X1"	12:58416586-58423977	<none>	<none>
LOC111098372	LOC111098372	"uncharacterized LOC111098372, transcript variant X4"	12:60704027-60728152	<none>	<none>
LOC111098373	LOC111098373	"uncharacterized LOC111098373, transcript variant X3"	12:62738369-62752570	<none>	<none>
LOC111098374	LOC111098374	uncharacterized LOC111098374	12:63240198-63266556	<none>	<none>
LOC111098375	LOC111098375	uncharacterized LOC111098375	12:64397466-64399081	<none>	<none>
LOC111098378	LOC111098378	"uncharacterized LOC111098378, transcript variant X5"	1:120599525-120609733	<none>	<none>
LOC111098384	LOC111098384	"uncharacterized LOC111098384, transcript variant X1"	1:120744816-120794163	<none>	<none>
LOC111098387	LOC111098387	uncharacterized LOC111098387	12:66178331-66181646	<none>	<none>
LOC111098388	LOC111098388	"uncharacterized LOC111098388, transcript variant X3"	12:66257394-66268110	<none>	<none>
LOC111098390	LOC111098390	uncharacterized LOC111098390	12:66147469-66167973	<none>	<none>
LOC111098393	LOC111098393	"uncharacterized LOC111098393, transcript variant X3"	12:66792648-66812054	<none>	<none>
LOC111098403	LOC111098403	"uncharacterized LOC111098403, transcript variant X3"	12:69213888-69253271	<none>	<none>
LOC111098404	LOC111098404	uncharacterized LOC111098404	12:69355868-69374028	<none>	<none>
LOC111098407	LOC111098407	"uncharacterized LOC111098407, transcript variant X1"	12:70703051-70714430	<none>	<none>
LOC111098409	LOC111098409	"uncharacterized LOC111098409, transcript variant X4"	12:71978988-71995752	<none>	<none>
LOC111098411	LOC111098411	uncharacterized LOC111098411	1:122324426-122327481	<none>	<none>
LOC111098415	LOC111098415	uncharacterized LOC111098415	12:72761643-72763290	<none>	<none>
LOC111098430	LOC111098430	mucin-2-like	13:60787302-60841775	<none>	<none>
LOC111098432	LOC111098432	"uncharacterized LOC111098432, transcript variant X2"	13:650252-691673	<none>	<none>
LOC111098435	LOC111098435	uncharacterized LOC111098435	13:7872569-7890728	<none>	<none>
LOC111098436	LOC111098436	uncharacterized LOC111098436	13:10971438-10976229	<none>	<none>
LOC111098437	LOC111098437	"uncharacterized LOC111098437, transcript variant X3"	13:11866284-11885870	<none>	<none>
LOC111098438	LOC111098438	"uncharacterized LOC111098438, transcript variant X3"	13:14339349-14399489	<none>	<none>
LOC111098439	LOC111098439	uncharacterized LOC111098439	13:16170264-16177312	<none>	<none>
LOC111098440	LOC111098440	"uncharacterized LOC111098440, transcript variant X3"	13:16334163-16358357	<none>	<none>
LOC111098442	LOC111098442	"uncharacterized LOC111098442, transcript variant X2"	13:18944937-18951427	<none>	<none>
LOC111098446	LOC111098446	uncharacterized LOC111098446	13:23284611-23287923	<none>	<none>
